Date,Region,stock_nappe,precip_tot,T2M,surf_agri,prelev_agri_pct,prelev_dom_pct,prelev_ind_pct,press_ress_int,prelev_total_bm3,indice_stress,croiss_pop,ress_capita,indice_aridite
2015-12-01,Loukkos,19.005936875,0.82,13.88,308046.767123288,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19249006615867,828.861562595571,0.0343383584589615
2016-01-01,Loukkos,14.12730835,65.17,12.36,308750,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19450726277516,828.016491918545,2.91457960644007
2016-02-01,Loukkos,21.88609924,131.22,11.22,308895.300387978,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19500157737576,827.179692854066,6.18378887841659
2016-03-01,Loukkos,26.540637975,44.62,11.18,309031.226557377,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.1954640007118,826.396880826006,2.1067044381492
2016-04-01,Loukkos,27.1397767,45.24,15.18,309176.526945355,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.1959583153124,825.560081761527,1.79666401906275
2016-05-01,Loukkos,36.48138542,90.06,18.35,309317.140224044,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19643668428072,824.750276215257,3.17671957671958
2016-06-01,Loukkos,46.162802675,2,24.24,309462.440612022,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19693099888132,823.913477150778,0.058411214953271
2016-07-01,Loukkos,45.114526725,1.45,29.46,309603.05389071,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19740936784964,823.103671604509,0.0367460719716168
2016-08-01,Loukkos,44.58183592,4.21,29.94,309748.354278689,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19790368245024,822.26687254003,0.105408112168252
2016-09-01,Loukkos,35.7629733,2.84,25.2,309893.654666667,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19839799705083,821.430073475551,0.0806818181818182
2016-10-01,Loukkos,25.13758354,81.18,20.96,310034.267945355,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19887636601915,820.620267929281,2.62209302325581
2016-11-01,Loukkos,27.233614925,211.79,13.65,310179.568333333,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19937068061975,819.783468864802,8.95517970401691
2016-12-01,Loukkos,69.716824525,150.8,11.09,310320.181612022,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.19984904958807,818.973663318533,7.15030820293978
2017-01-01,Loukkos,57.30376052,52.61,8.92,310465.482,87.7768191,10.19077749,2.032403413,36.4586206896552,10.573,50.75121202,1.20034336418867,818.136864254054,2.78065539112051
